paper_id,citation_key,region,period,sensor,geometry,method,validation,mechanism_claim,limitation,manuscript_use
"P001","garg2022","Delhi National Capital Region, India","2014-2020","Sentinel-1","ascending and descending","PSI time-series analysis","cross-geometry comparison and groundwater-level comparison","groundwater depletion is associated with reported subsidence patterns","association and spatial correspondence do not isolate compaction depth or exclude other mechanisms","direct Delhi-NCR comparison and motivation for independent cross-geometry testing"
"P002","kumar2022","Delhi National Capital Region, India","ALOS-1 and Sentinel-1 eras","ALOS-1; Sentinel-1","multiple SAR viewing periods","InSAR time-series analysis","comparison across sensors and groundwater observations","groundwater overexploitation is advanced as the principal driver","different sensors and periods complicate direct temporal comparison; attribution is observational","regional deformation history and groundwater-attribution context"
"P003","yunjun2019","methodological; demonstrated on multiple sites","not applicable","SAR interferograms","general","small-baseline time-series analysis with unwrapping-error correction and noise reduction","benchmark examples in the source paper","no site-specific mechanism claim","method paper does not validate any Delhi-NCR physical interpretation","MintPy/SBAS processing-method citation"
"P004","berardino2002","methodological; Campi Flegrei demonstration","not applicable","SAR interferograms","general","small-baseline differential SAR interferometry","demonstration against known deformation setting","no Delhi-NCR mechanism claim","foundational algorithm paper; not evidence for this study's hotspots","SBAS foundation"
"P005","ferretti2001","methodological; European demonstrations","not applicable","ERS SAR","general","permanent-scatterer interferometry","stable-target and deformation demonstrations","no Delhi-NCR mechanism claim","foundational method cannot establish causation in a later case study","persistent-scatterer foundation"
"P006","crosetto2016","global review","1990s-2015 literature","multiple SAR missions","multiple","review of persistent-scatterer interferometry","synthesis of published validation studies","reviews capabilities and limitations rather than a single mechanism","review does not validate the present processing branch or physical cause","method capabilities limitations and terminology"
"P007","even2018","global review with methodological advances","literature through 2018","multiple SAR missions","multiple","distributed-scatterer InSAR review","published examples and algorithmic demonstrations","no Delhi-NCR mechanism claim","review evidence is not a substitute for local validation","distributed-scatterer context and decorrelation limitations"
"P008","hussain2022","Lahore, Pakistan","2020-2021","Sentinel-1","ascending and descending","PS-InSAR","cross-geometry comparison; groundwater-discharge context","groundwater extraction is associated with Lahore subsidence","short observation interval and limited in-situ hydrogeological constraint weaken causal identification","regional alluvial-city comparator and attribution caution"
"P009","nadimpalli2025","Kakinada, India","2020-2024","Sentinel-1","single descending geometry","PS-InSAR","no independent opposing-geometry validation reported","unconsolidated-sediment compaction and groundwater pumping are proposed","single viewing geometry and limited ground validation restrict attribution","recent Indian urban comparator and single-geometry limitation"
"P010","zhu2022","Fuzhou, China","2017-2021","Sentinel-1 and Sentinel-2","Sentinel-1 PSI geometry reported in source","PSI plus multispectral land-cover indices and GACOS correction","spatial comparison with land-cover change indicators","urban land-cover change is evaluated as a potential explanatory factor","multispectral variables explain only part of the deformation and conference-paper depth is limited","negative/weak land-cover comparison and multi-source design context"
"P011","elhag2025","Makkah, Saudi Arabia","study period reported in source","Sentinel-1","PS-InSAR viewing geometry reported in source","PS-InSAR and urban/environmental covariate interpretation","comparison with GNSS/GPS information reported by authors","urban development and groundwater extraction are proposed contributors","observational covariation cannot separate anthropogenic drivers and LOS remains geometry-dependent","recent arid-city architecture example used cautiously"
"P012","poggio2021","global","reference years vary by covariate","global soil observations and environmental covariates","not applicable","machine-learning global soil-property mapping at 250 m","cross-validation with quantified spatial uncertainty","no land-deformation mechanism claim","SoilGrids describes shallow soil properties and cannot represent deep geology or aquifer compaction units","SoilGrids provenance and shallow-surrogate boundary"
"P013","benjamini1995","statistical methodology","not applicable","not applicable","not applicable","false-discovery-rate control for multiple testing","theoretical and simulation evaluation","no geophysical mechanism claim","FDR control does not repair dependent or misspecified physical tests","multiple-testing procedure for groundwater lag tests"
"P014","hersbach2020","global","1979 onward","multi-platform observations assimilated by ECMWF","not applicable","ERA5 atmospheric reanalysis","forecast-system evaluation and comparisons with observations","no land-deformation mechanism claim","reanalysis resolution and model dependence limit local forcing inference","atmospheric/reanalysis dataset provenance and contextual forcing"
