submission_id,source_figure,placement,scientific_question,claim_ids,source_paths,limitations,caption_file
"F1","F1","main","Are the two acquisition designs independent and where is descending coverage incomplete?","C020;C022","qc/sci/phase4/figures/F01_study_design.png;qc/sci/phase4/figures/F01_study_design.pdf","True projected geometry now includes north arrow and 20 km scale; descending misses the western AOI strip and cannot evaluate the full ascending field.","manuscript/FIGURE_CAPTIONS.md"
"F2","F2","main","What is the distribution and spatial structure of the authoritative ascending relative LOS field?","C012;C014","qc/sci/phase4/figures/F02_ascending_velocity.png;qc/sci/phase4/figures/F02_ascending_velocity.pdf","Display saturates outside plus or minus 20 mm yr-1; rates are relative LOS and the absolute zero carries reference systematic uncertainty.","manuscript/FIGURE_CAPTIONS.md"
"F3","F3","main","How do all five frozen zones classify across geometry?","C001;C002;C003;C004","qc/sci/phase4/figures/F03_hotspot_classification.png;qc/sci/phase4/figures/F03_hotspot_classification.pdf","Polygon means summarize within-zone variation; ascending and descending bars are separate LOS geometries and not vertical rates.","manuscript/FIGURE_CAPTIONS.md"
"F4","F5","main","Which zones retain compatible mean-rate magnitudes across independent geometries?","C001;C002;C006;C007","qc/sci/phase4/figures/F05_supported_features.png;qc/sci/phase4/figures/F05_supported_features.pdf","The 6.66 km2 value is a polygon-area sum; amplitude ratios do not reproduce detailed histories or identify a motion vector.","manuscript/FIGURE_CAPTIONS.md"
"F5","F6","main","Do H002 and H003 reproduce when compared with a supported zone of similar ascending magnitude?","C003;C016","qc/sci/phase4/figures/F06_negative_controls.png;qc/sci/phase4/figures/F06_negative_controls.pdf","H001 is omitted for scale only and disclosed on-figure; non-reproduction does not prove physical stability.","manuscript/FIGURE_CAPTIONS.md"
"F6","F7","main","Why must H005 remain a standalone unresolved contradiction?","C004;C017","qc/sci/phase4/figures/F07_H005_contradiction.png;qc/sci/phase4/figures/F07_H005_contradiction.pdf","Two mean LOS rates disagree in sign and magnitude; the graphic does not choose a preferred geometry or cause.","manuscript/FIGURE_CAPTIONS.md"
"F7","F9","main","Do forward groundwater lags outperform falsification lags and survive multiplicity control?","C008;C018","qc/sci/phase4/figures/F09_groundwater_falsification.png;qc/sci/phase4/figures/F09_groundwater_falsification.pdf","H005 is absent; sparse aquifer-unspecific telemetry makes this NO EVIDENCE for the test rather than mechanism disproof.","manuscript/FIGURE_CAPTIONS.md"
"F8","F12","main","What are the distinct final evidence states for every candidate explanation?","C008;C009;C010;C011;C018","qc/sci/phase4/figures/F12_evidence_matrix.png;qc/sci/phase4/figures/F12_evidence_matrix.pdf","Categorical states are not a ranked score and cannot be collapsed; matrix reproduces the frozen labels verbatim.","manuscript/FIGURE_CAPTIONS.md"
"S1","F4","supplement","How much did descending unwrap correction improve aggregate agreement and where is spatial reproduction selective?","C001;C003;C004;C022;C023","qc/sci/phase4/figures/F04_cross_geometry_agreement.png;qc/sci/phase4/figures/F04_cross_geometry_agreement.pdf","Aggregate branch-specific statistics are not retained pixel pairs; moderate agreement is spatially heterogeneous.","manuscript/FIGURE_CAPTIONS.md"
"S2","F8","supplement","Which characteristics reproduce and which temporal summaries do not?","C007;C012","qc/sci/phase4/figures/F08_rate_vs_history.png;qc/sci/phase4/figures/F08_rate_vs_history.pdf","Only retained cumulative endpoints are shown; per-epoch series were not retained and are not reconstructed.","manuscript/FIGURE_CAPTIONS.md"
"S3","F10","supplement","Does shallow texture discriminate supported zones from controls in the predicted direction?","C009;C010;C018","qc/sci/phase4/figures/F10_soil_texture.png;qc/sci/phase4/figures/F10_soil_texture.pdf","SoilGrids samples the upper approximately 2 m and is not a deep geological or aquifer-system map.","manuscript/FIGURE_CAPTIONS.md"
"S4","F11","supplement","Does built intensity or detected recent expansion distinguish supported zones from controls?","C011;C018","qc/sci/phase4/figures/F11_urban_intensity.png;qc/sci/phase4/figures/F11_urban_intensity.pdf","Built fraction is not structural loading; GHSL E2025 is projected and construction chronology is unavailable.","manuscript/FIGURE_CAPTIONS.md"
